"Name","GamesPlayed","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"DEN",82,7913,9418,2652,4719,0.5619834710743802,958,2560,0.37421875,0.3779092702169625,1240,3174,2130,2484,390,0.5984162895927602,0.6601497504159733,0.8643006263048016,0.3516966616293447,0.5354172694643843,0.5617529880478087,0.5883312421580928,496,385,0.08158508158508158,9,0.003515625
"GSW",82,8174,9657,2371,4324,0.5483348751156337,1211,3191,0.3795048574114698,0.3812677388836329,1282,2842,1900,2943,690,0.5993251792492619,0.6530330882352942,0.8100743187448389,0.42461743180306055,0.5198995994124717,0.5572188955422488,0.5862362971985383,390,378,0.08741905642923219,29,0.009088060169225948
"PHX",82,8076,9532,2462,4392,0.5605646630236795,1020,2671,0.38187944590041184,0.3825956489122281,1548,2674,2250,2643,417,0.5430544272948822,0.5770392749244713,0.8637254901960785,0.3781679173155883,0.5317078869047619,0.5651989239699844,0.6014465169394747,290,349,0.07946265938069216,23,0.008611007113440658
"MIA",82,7891,9032,2244,4257,0.5271317829457365,1022,2765,0.369620253164557,0.37150127226463103,1478,2408,2080,2736,330,0.5365418894830659,0.5785679961556944,0.8923679060665362,0.39376246083736827,0.5200375339140368,0.5378809455995442,0.5755769230769231,326,358,0.08409678177120038,30,0.0108499095840868
"LAL",82,8301,9679,2611,4605,0.5669923995656895,969,2572,0.37674961119751166,0.3794048551292091,1550,3086,2136,2391,516,0.5909613175028725,0.6362886597938144,0.8224974200206399,0.3583670057126933,0.5345640799776287,0.5663229761738888,0.6019490254872564,372,373,0.08099891422366992,17,0.006609642301710731
"MEM",82,8043,8677,2074,4133,0.5018146624727801,1071,3097,0.3458185340652244,0.3486328125,1316,2180,1968,2805,408,0.5255544840887174,0.5758055995773904,0.873015873015873,0.4283540802213001,0.5381806431448812,0.5090594744121715,0.541562186559679,362,498,0.12049358819259617,38,0.012269938650306749
"IND",82,8312,10110,2773,4708,0.5889974511469839,1082,2891,0.3742649602213767,0.3758249392150052,1318,3194,2352,2775,471,0.575910566173819,0.627751572327044,0.8548983364140481,0.38044479536781156,0.5399278862646787,0.5784971706803527,0.6071385505848306,458,409,0.08687340696686491,31,0.010722933241093047
"NYK",82,7800,9249,2302,4336,0.5309040590405905,1083,2936,0.3688692098092643,0.36940935472857633,1396,2184,2420,2718,531,0.474370112945265,0.5255052935514918,0.8365650969529086,0.40374037403740376,0.5429480369196859,0.5399477447744775,0.5742475334082677,448,403,0.09294280442804428,28,0.009536784741144414
"POR",82,8029,8722,2288,4633,0.49384847830779194,939,2723,0.3448402497245685,0.3467503692762186,1329,2214,2362,2361,456,0.48382867132867136,0.5602226720647774,0.838125665601704,0.3701740076128331,0.5276089818727,0.5025149537792278,0.5370851906884596,624,498,0.10748974746384632,30,0.011017260374586852
"MIN",82,7984,9264,2346,4293,0.546470999301188,1037,2681,0.3867959716523685,0.38918106686701726,1461,2566,2126,2703,408,0.5468883205456095,0.6026303428839831,0.8688524590163934,0.3844278749641526,0.5373407482014388,0.5594350444508174,0.5934369380940149,434,355,0.08269275564873049,16,0.005967922417008579
"ATL",82,8258,9703,2404,4492,0.5351736420302761,1125,3092,0.36384217335058217,0.3660917670029287,1520,2580,2228,2670,705,0.5366056572379367,0.6002791996277338,0.7911111111111111,0.40770042194092826,0.5434057432432432,0.5394910337552743,0.5762126087474675,510,434,0.09661620658949244,27,0.008732212160413972
"LAC",82,7964,9481,2437,4389,0.5552517657780816,1036,2719,0.38102243471864655,0.3825701624815362,1499,2652,2222,2313,795,0.54411161263849,0.5911725367810967,0.7442084942084942,0.3825267304445695,0.5280669626497534,0.5614800225098481,0.5992885275060348,388,356,0.0811118705855548,28,0.010297903641044501
"CHI",82,7991,9206,2507,4709,0.532384795073264,941,2630,0.3577946768060836,0.35943468296409475,1369,2448,2566,2472,351,0.4882329477463103,0.529640848117698,0.8756641870350691,0.35835944951628285,0.5394778232964632,0.5339283281100967,0.5669262143121987,392,387,0.08218305372690593,17,0.006463878326996198
"CHA",82,7951,8740,2292,4345,0.5275028768699654,989,2788,0.3547345767575323,0.35755603759942156,1189,2406,2178,2490,477,0.524869109947644,0.5775324051848296,0.839231547017189,0.3908593859526146,0.531845917218077,0.5293004345997476,0.55997425997426,418,366,0.08423475258918296,30,0.010760401721664276
"SAC",82,8158,9558,2375,4236,0.5606704438149197,1178,3219,0.36595215905560735,0.36697819314641744,1274,2578,2172,3105,429,0.5427368421052632,0.5888533576975788,0.8786078098471987,0.4317907444668008,0.5301515517936316,0.5556002682763246,0.5814593009044243,372,346,0.08168083097261568,24,0.007455731593662628
"DET",82,8169,9010,2447,4634,0.5280535174794994,906,2602,0.3481936971560338,0.3512989530825901,1398,2646,2248,2295,423,0.5406620351450756,0.5932735426008968,0.8443708609271523,0.35959093421779986,0.5243912123734221,0.5259812050856827,0.5601527290936404,434,463,0.09991368148467847,27,0.01037663335895465
"DAL",82,8176,9664,2338,4110,0.5688564476885645,1197,3242,0.36921653300431834,0.37127791563275436,1397,2452,2224,2640,951,0.5243798118049615,0.5670675300647549,0.7351712614870509,0.44096844396082696,0.5420505800464037,0.562227965179543,0.5927339901477833,352,304,0.07396593673965937,27,0.008328192473781616
"TOR",82,8156,9213,2524,4644,0.5434969853574505,942,2712,0.3473451327433628,0.3488888888888889,1339,2968,2080,2553,273,0.5879556259904913,0.6460600783630823,0.9033970276008493,0.36867862969004894,0.5454186895518321,0.5352093529091898,0.5665432098765432,454,446,0.09603789836347976,28,0.01032448377581121
"OKC",82,8237,9847,2563,4519,0.5671608763000664,1090,2805,0.38859180035650626,0.3892857142857143,1451,2496,2630,2925,345,0.4869293796332423,0.5154894671623296,0.8944954128440367,0.3829874385581649,0.5431915037593985,0.573184052430366,0.6074257425742574,284,393,0.08696614295198053,26,0.009269162210338681
"BOS",82,8021,9887,2250,3914,0.5748594787940725,1351,3482,0.3879954049396898,0.38904899135446686,1334,2262,2238,3228,825,0.5026666666666667,0.5514383227693808,0.7964470762398224,0.4707950243374797,0.5368516937669376,0.5782179556517036,0.6075879086983343,398,293,0.07485947879407256,11,0.0031591039632395176
"MIL",82,8227,9756,2375,4136,0.5742263056092843,1163,3122,0.3725176169122357,0.3738347798135648,1517,2396,2354,2934,555,0.504421052631579,0.5505514705882353,0.8409286328460877,0.4301460457426288,0.5403460173937051,0.5675806007164508,0.600111234705228,398,312,0.07543520309477757,34,0.010890454836643177
"CLE",82,7979,9236,2317,4132,0.5607454017424975,1108,3016,0.3673740053050398,0.36838602329450915,1278,2728,1906,2805,519,0.5886922744928788,0.6421845574387948,0.8438628158844765,0.42193620593172915,0.5557139029180697,0.5566592053721321,0.5843924758515506,386,373,0.09027105517909002,38,0.012599469496021221
"BKN",82,7956,9050,2245,4297,0.5224575285082615,1089,3010,0.3617940199335548,0.3642450619350519,1293,2366,2124,2757,510,0.5269487750556793,0.5827586206896552,0.8438934802571166,0.4119337621458875,0.5368275838372732,0.5307923908580813,0.5606249221959417,430,376,0.08750290900628345,33,0.010963455149501661
"SAS",82,8314,9192,2402,4453,0.5394116326072311,1036,2983,0.3473013744552464,0.349291975724882,1280,3004,1800,2841,267,0.6253122398001665,0.675663517768781,0.9140926640926641,0.4011565357719204,0.543255130106512,0.5320064550833782,0.5641072966654362,358,352,0.07904783292162587,28,0.009386523633925578
"UTA",82,8195,9484,2383,4378,0.5443124714481499,1060,2993,0.35415970598062146,0.3563025210084034,1538,2594,2172,2805,375,0.5442719261435166,0.6185026227944683,0.8820754716981132,0.4060507393840727,0.5228807849272208,0.5390042056708724,0.5784698381559588,572,496,0.11329374143444496,32,0.010691613765452723
"HOU",82,8141,9375,2382,4495,0.5299221357063404,1043,2964,0.351889338731444,0.3556085918854415,1482,2440,2324,2445,684,0.5121746431570109,0.5648148148148148,0.7813998082454459,0.39737230191714706,0.5288953074433657,0.529092371631586,0.5637462235649546,444,469,0.10433815350389321,13,0.0043859649122807015
"ORL",82,7940,9058,2415,4396,0.5493630573248408,903,2568,0.3516355140186916,0.3540031397174254,1519,2458,2372,2382,327,0.5089026915113871,0.557116953762466,0.8792912513842747,0.3687535898908673,0.53589383196426,0.5412837449741528,0.5758814512008176,418,369,0.08393994540491356,10,0.003894080996884735
"PHI",82,8013,9397,2412,4598,0.5245759025663332,992,2733,0.36297109403585803,0.36380323054331865,1597,2460,2364,2433,543,0.5099502487562189,0.5662983425414365,0.8175403225806451,0.37280043650252354,0.5364256801093643,0.5319874505524486,0.5742786985880909,480,482,0.10482818616789909,21,0.007683863885839737
"WAS",82,8389,9327,2508,4578,0.5478374836173001,1015,2915,0.3481989708404803,0.34977578475336324,1266,2864,2152,2568,477,0.5709728867623605,0.6239651416122004,0.8433497536945813,0.3890297611103697,0.5343142904953145,0.5379020419057787,0.5680929095354523,426,455,0.09938837920489296,41,0.014065180102915952
"NOP",82,8021,9436,2461,4492,0.5478628673196795,1023,2673,0.38271604938271603,0.38566037735849057,1445,2614,2308,2709,360,0.531084924827306,0.5821826280623608,0.8826979472140762,0.37306350314026515,0.534924173206278,0.5576413119330077,0.5892051153460381,432,397,0.0883793410507569,27,0.010101010101010102